,t_off,T_out,T_in_init,T_set,tau,COP
2.0,-0.12528,,,,2.09998,
2.6,,,,,,2.33334
3.0,,,,,,1.32674
3.3,,,,,,1.00626
3.6,,,,,,0.9900800000000001
4.0,,,,,2.0380200000000004,1.38854
5.0,0.6307,,,,,
6.0,,,,,1.1345399999999999,
8.0,1.3369399999999998,,,,,
9.0,,,,,1.13528,
11.0,2.07302,,,,,
12.0,,,,,0.6371399999999999,
14.0,3.12958,,,,,
22.0,,,,1.6873799999999999,,
23.0,,,,1.3534000000000002,,
24.0,,,,2.00828,,
25.0,,,,0.96322,,
26.0,,-0.03308,1.18522,1.03268,,
27.0,,,1.77914,,,
28.0,,,1.63022,,,
29.0,,,1.64482,,,
30.0,,0.67914,0.80556,,,
34.0,,1.3060399999999999,,,,
38.0,,2.19354,,,,
40.0,,2.89932,,,,
